frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame,conteo_entrada,conteo_salida,alerta
454,41.933,19.9176,30.9408,2,0.7038,1,1,ALERTA: deteccion confiable (0.92)
455,41.998,21.4088,30.9081,2,0.7308,1,1,ALERTA: deteccion confiable (0.92)
456,42.067,19.2123,30.345,2,0.7252,1,1,ALERTA: deteccion confiable (0.92)
457,42.13,22.0576,29.613,2,0.7393,1,1,ALERTA: deteccion confiable (0.92)
458,42.201,18.8933,28.677,2,0.7641,1,1,ALERTA: deteccion confiable (0.92)
459,42.267,20.4742,31.0979,2,0.7716,1,1,ALERTA: deteccion confiable (0.92)
460,42.329,22.0634,29.3519,2,0.779,1,1,ALERTA: deteccion confiable (0.92)
461,42.398,19.2475,29.669,2,0.7716,1,1,ALERTA: deteccion confiable (0.92)
462,42.461,21.846,28.8341,2,0.7861,1,1,ALERTA: deteccion confiable (0.92)
463,42.532,18.5021,29.8588,2,0.7964,1,1,ALERTA: deteccion confiable (0.92)
464,42.6,19.9064,29.788,2,0.7784,1,1,ALERTA: deteccion confiable (0.92)
465,42.664,20.9758,30.4551,2,0.7552,1,1,ALERTA: deteccion confiable (0.92)
466,42.757,13.2078,29.5382,2,0.7661,1,1,ALERTA: deteccion confiable (0.92)
467,42.806,30.8262,28.898,2,0.7607,1,1,ALERTA: deteccion confiable (0.92)
468,42.886,15.8519,29.995,2,0.7557,1,1,ALERTA: deteccion confiable (0.92)
469,42.945,23.8686,30.7808,2,0.7361,1,1,ALERTA: deteccion confiable (0.92)
470,43.013,20.0401,30.8411,2,0.7301,1,1,ALERTA: deteccion confiable (0.92)
471,43.086,17.8514,30.216,2,0.7692,1,1,ALERTA: deteccion confiable (0.92)
472,43.145,23.8652,28.8532,2,0.7861,1,1,ALERTA: deteccion confiable (0.79)
473,43.215,18.6171,29.9211,2,0.8027,1,1,ALERTA: deteccion confiable (0.79)
474,43.281,20.4491,29.495,2,0.7943,1,1,ALERTA: deteccion confiable (0.79)
475,43.347,20.4277,30.0229,2,0.8059,1,1,ALERTA: deteccion confiable (0.79)
476,43.417,19.1136,29.6259,2,0.7884,1,1,ALERTA: deteccion confiable (0.79)
477,43.483,20.5351,30.827,2,0.7663,1,1,ALERTA: deteccion confiable (0.79)
478,43.547,21.347,29.9203,2,0.761,1,1,ALERTA: deteccion confiable (0.79)
479,43.612,20.9362,30.082,1,0.9178,1,1,ALERTA: deteccion confiable (0.79)
